Time [s],Raw altitude [km],Raw speed [m/s],Smoothed altitude [km],Smoothed speed [m/s],Downrange distance [km],Horizontal speed [m/s],Vertical speed [m/s],Total acceleration [m/s^2],Horizontal acceleration [m/s^2],Vertical acceleration [m/s^2],Mach number,Dynamic pressure [kPa],Specific orbital energy [MJ/kg],Perigee altitude [km]
0,0,0,0.0,0.0,0.0,0.0,48.2,3.2,1.1,3.0,0.0,0.0,-62.5,-6361.0
1,0,0,0.0,0.0,0.0,0.0,48.2,3.2,1.1,3.0,0.0,0.0,-62.5,-6361.0
2,0,0,0.0,0.9,0.0,0.0,48.2,3.2,1.1,3.0,0.0,0.0,-62.5,-6361.0
3,0,3,0.0,3.1,0.0,0.0,48.2,3.2,1.1,3.0,0.0,0.0,-62.5,-6361.0
4,0,6,0.0,7.2,0.0,0.0,48.2,3.2,1.1,3.0,0.0,0.0,-62.5,-6361.0
5,0,12,0.0,12.1,0.0,0.0,48.2,3.2,1.1,3.0,0.0,0.1,-62.5,-6361.0
6,0,18,0.0,17.2,0.0,0.0,48.2,3.2,1.1,3.0,0.1,0.2,-62.5,-6361.0
7,0,22,0.0,21.9,0.0,0.0,48.2,3.2,1.1,3.0,0.1,0.3,-62.5,-6361.0
8,0,26,0.0,26.3,0.0,0.0,48.2,3.2,1.1,3.0,0.1,0.4,-62.5,-6361.0
9,0,31,0.0,31.4,0.0,0.0,48.2,3.2,1.1,3.0,0.1,0.6,-62.5,-6361.0
10,0,37,0.0,36.7,0.0,0.0,48.2,3.2,1.1,3.0,0.1,0.8,-62.5,-6361.0
11,0,42,0.0,42.0,0.0,0.0,48.2,3.2,1.1,3.0,0.1,1.1,-62.5,-6361.0
12,0,47,0.0,46.9,0.0,0.0,48.2,3.2,1.1,3.0,0.1,1.3,-62.5,-6361.0
13,0,52,0.1,51.6,0.0,0.0,48.2,3.2,1.1,3.0,0.2,1.6,-62.5,-6360.2
14,0,56,0.1,56.5,0.0,0.0,48.2,3.2,1.1,3.1,0.2,1.9,-62.5,-6359.7
15,0,62,0.2,61.4,0.0,0.0,51.7,3.3,1.1,3.1,0.2,2.3,-62.4,-6359.5
16,0,66,0.2,66.5,0.0,0.0,58.4,3.4,1.1,3.3,0.2,2.6,-62.4,-6359.5
