Time [s],Raw altitude [km],Raw speed [m/s],Smoothed altitude [km],Smoothed speed [m/s],Downrange distance [km],Horizontal speed [m/s],Vertical speed [m/s],Total acceleration [m/s^2],Horizontal acceleration [m/s^2],Vertical acceleration [m/s^2],Mach number,Dynamic pressure [kPa],Specific orbital energy [MJ/kg],Perigee altitude [km]
0,0,0,0.0,-0.0,0.0,0.0,24.1,3.8,1.2,3.7,-0.0,0.0,-62.5,-6361.0
1,0,0,0.0,0.3,0.0,0.0,25.8,3.8,1.2,3.7,0.0,0.0,-62.5,-6361.0
2,0,1,0.0,1.1,0.0,0.0,27.8,3.8,1.2,3.7,0.0,0.0,-62.5,-6361.0
3,0,2,0.0,3.6,0.0,0.0,29.9,3.8,1.2,3.7,0.0,0.0,-62.5,-6361.0
4,0,8,0.0,7.2,0.0,0.0,32.2,3.8,1.2,3.7,0.0,0.0,-62.5,-6361.0
5,0,11,0.0,11.9,0.0,0.0,34.6,3.8,1.2,3.7,0.0,0.1,-62.5,-6361.0
6,0,16,0.0,16.2,0.0,0.0,37.2,3.8,1.2,3.7,0.0,0.2,-62.5,-6361.0
7,0,21,0.0,21.1,0.0,0.0,40.0,3.8,1.2,3.7,0.1,0.3,-62.5,-6361.0
8,0,26,0.0,25.9,0.0,0.0,42.9,3.8,1.2,3.7,0.1,0.4,-62.5,-6361.0
9,0,31,0.0,31.0,0.0,0.0,46.1,3.8,1.2,3.7,0.1,0.6,-62.5,-6361.0
10,0,36,0.0,36.1,0.0,0.0,49.5,3.8,1.2,3.7,0.1,0.8,-62.5,-6361.0
11,0,41,0.0,41.3,0.0,0.0,53.1,3.8,1.2,3.7,0.1,1.0,-62.5,-6361.0
12,0,46,0.0,46.5,0.0,0.0,56.9,3.8,1.2,3.7,0.1,1.3,-62.5,-6361.0
13,0,52,0.1,51.7,0.0,0.0,60.9,3.8,1.2,3.7,0.2,1.6,-62.5,-6361.0
14,0,57,0.1,57.0,0.0,0.0,65.1,3.9,1.2,3.7,0.2,2.0,-62.5,-6361.0
15,0,62,0.2,62.3,0.0,0.0,69.5,3.9,1.2,3.7,0.2,2.3,-62.5,-6361.0
16,0,68,0.2,67.3,0.0,0.0,72.4,4.0,1.2,3.8,0.2,2.7,-62.5,-6361.0
17,0,72,0.3,72.1,0.0,0.0,75.6,4.1,1.2,3.9,0.2,3.1,-62.5,-6361.0
18,0,77,0.3,77.0,0.0,0.0,78.9,4.2,1.3,4.0,0.2,3.5,-62.5,-6361.0
19,0,82,0.4,82.0,0.0,0.0,82.4,4.3,1.4,4.1,0.2,4.0,-62.5,-6361.0
20,0,87,0.4,86.8,0.0,10.3,86.1,4.5,1.6,4.2,0.3,4.4,-62.5,-6360.5
21,0,91,0.5,91.3,0.0,14.9,90.1,4.6,1.7,4.3,0.3,4.9,-62.5,-6360.4
22,1,96,0.6,95.6,0.0,16.6,94.2,4.8,1.8,4.4,0.3,5.3,-62.4,-6360.2
23,1,100,0.7,100.3,0.1,18.8,98.5,4.9,2.0,4.5,0.3,5.7,-62.4,-6360.2
24,1,105,0.8,105.1,0.1,21.0,103.0,5.0,2.1,4.6,0.3,6.3,-62.4,-6360.1
25,1,110,0.9,110.3,0.1,24.1,107.6,5.1,2.2,4.6,0.3,6.8,-62.4,-6359.9
26,1,116,1.0,115.6,0.1,27.0,112.5,5.2,2.3,4.7,0.3,7.4,-62.4,-6359.8
27,1,121,1.1,121.1,0.2,29.3,117.5,5.3,2.3,4.7,0.4,8.0,-62.4,-6359.7
28,1,127,1.3,126.7,0.2,31.3,122.7,5.4,2.4,4.8,0.4,8.7,-62.4,-6359.6
29,1,132,1.4,132.3,0.2,33.1,128.1,5.4,2.5,4.8,0.4,9.3,-62.4,-6359.5
30,1,138,1.6,138.1,0.3,34.6,133.7,5.5,2.6,4.9,0.4,10.0,-62.4,-6359.4
31,2,144,1.7,143.6,0.3,35.2,139.2,5.6,2.7,4.9,0.4,10.7,-62.4,-6359.3
32,2,149,1.9,149.3,0.3,36.5,144.7,5.7,2.7,5.0,0.4,11.3,-62.4,-6359.4
33,2,155,2.0,155.0,0.4,38.4,150.2,5.7,2.8,5.0,0.5,12.0,-62.4,-6359.2
