Time (min),Time (ssec),Speed (km/h),Altitude (km)
0,0,0,0
0,1,0,0
0,2,0,0
0,3,10,0
0,4,23,0
0,5,45,0
0,6,63,0
0,7,78,0
0,8,95,0
0,9,111,0
0,10,133,0
0,11,152,0
0,12,169,0
0,13,186,0
0,14,202,0
0,15,222,0
0,16,239,0
0,17,257,0
0,18,275,0
0,19,293,0
0,20,314,0
0,21,328,0
0,22,346,1
0,23,367,1
0,24,377,1
0,25,401,1
0,26,422,1
0,27,442,1
0,28,459,1
0,29,482,1
0,30,501,1
0,31,518,2
0,32,540,2
0,33,562,2
0,34,585,2
0,35,608,2
0,36,632,2
0,37,653,3
0,38,674,3
0,39,700,3
0,40,717,3
0,41,741,3
0,42,764,4
0,43,784,4
0,44,803,4
0,45,825,4
0,46,842,4
0,47,863,5
0,48,882,5
0,49,903,5
0,50,921,5
0,51,945,6
0,52,964,6
0,53,982,6
0,54,999,7
0,55,1013,7
0,56,1026,7
0,57,1045,7
0,58,1060,8
0,59,1076,8
1,0,1096,8
1,1,1114,9
1,2,1134,9
1,3,1154,9
1,4,1175,9
1,5,1192,9
1,6,1221,10
1,7,1238,10
1,8,1256,10
1,9,1279,11
1,10,1307,11
1,11,1334,12
1,12,1357,12
1,13,1376,12
1,14,1404,13
1,15,1431,13
1,16,1455,13
1,17,1485,14
1,18,1514,14
1,19,1541,14
1,20,1657,15
1,21,1608,15
1,22,1627,16
1,23,1658,16
1,24,1694,16
1,25,1732,17
1,26,1770,17
1,27,1790,18
1,28,1827,18
1,29,1861,19
1,30,1903,19
1,31,1940,20
1,32,1982,20
1,33,2010,20
1,34,2059,21
1,35,2105,22
1,36,2143,22
1,37,2179,22
1,38,2218,23
1,39,2270,23
1,40,2310,24
1,41,2357,24
1,42,2402,25
1,43,2446,26
1,44,2491,26
1,45,2539,27
1,46,2589,27
1,47,2635,28
1,48,2691,28
1,49,2730,29
1,50,2777,29
1,51,2832,30
1,52,2875,31
1,53,2933,31
1,54,2994,32
1,55,3037,32
1,56,3091,33
1,57,3142,34
1,58,3197,34
1,59,3254,35
2,0,3305,35
2,1,3361,36
2,2,3414,37
2,3,3473,38
2,4,3524,38
2,5,3569,39
2,6,3630,39
2,7,3679,40
2,8,3734,41
2,9,3792,41
2,10,3844,42
2,11,3901,43
2,12,3952,44
2,13,4022,44
2,14,4081,45
2,15,4129,46
2,16,4176,46
2,17,4242,47
2,18,4297,48
2,19,4347,49
2,20,4402,49
2,21,4469,50
2,22,4520,51
2,23,4583,52
2,24,4628,52
2,25,4689,53
2,26,4751,54
2,27,4812,55
2,28,4896,56
2,29,4940,56
2,30,4988,57
2,31,5032,58
2,32,5090,58
2,33,5158,59
2,34,5207,60
2,35,5266,61
2,36,5362,61
2,37,5387,62
2,38,5451,63
2,39,5514,64
2,40,5567,64
2,41,5629,65
2,42,5690,66
2,43,5737,67
2,44,5748,68
2,45,5738,69
2,46,5730,69
2,47,5720,70
2,48,5710,71
2,49,5713,71
2,50,5721,72
2,51,5735,73
2,52,5753,74
2,53,5771,74
2,54,5785,75
2,55,5803,76
2,56,5825,76
2,57,5842,77
2,58,5866,78
2,59,5885,79
3,0,5903,79
3,1,5920,80
3,2,5940,80
3,3,5961,81
3,4,5981,82
3,5,6003,82
3,6,6028,83
3,7,6043,84
3,8,6066,84
3,9,6087,85
3,10,6016,86
3,11,6131,86
3,12,6157,87
3,13,6175,87
3,14,6201,88
3,15,6224,89
3,16,6244,89
3,17,6269,90
3,18,6292,90
3,19,6315,91
3,20,6342,92
3,21,6361,92
3,22,6388,93
3,23,6412,93
3,24,6439,94
3,25,6463,95
3,26,6487,95
3,27,6519,96
3,28,6540,96
3,29,6568,97
3,30,6591,97
3,31,6620,98
3,32,6644,99
3,33,6670,99
3,34,6695,100
3,35,6729,100
3,36,6756,101
3,37,6781,101
3,38,6803,102
3,39,6832,102
3,40,6858,103
3,41,6887,103
3,42,6918,104
3,43,6947,104
3,44,6981,105
3,45,7007,105
3,46,7037,106
3,47,7062,106
3,48,7088,107
3,49,7119,107
3,50,7145,107
3,51,7177,108
3,52,7207,108
3,53,7233,109
3,54,7263,109
3,55,7305,110
3,56,7334,110
3,57,7358,111
3,58,7384,111
3,59,7416,112
4,0,7452,112
4,1,7481,112
4,2,7508,113
4,3,7544,113
4,4,7577,114
4,5,7609,114
4,6,7637,115
4,7,7673,115
4,8,7703,115
4,9,7736,116
4,10,7774,116
4,11,7801,117
4,12,7830,117
4,13,7866,117
4,14,7900,118
4,15,7934,118
4,16,7966,118
4,17,8000,119
4,18,8042,119
4,19,8070,120
4,20,8098,120
4,21,8138,120
4,22,8174,121
4,23,8207,121
4,24,8245,121
4,25,8278,122
4,26,8304,122
4,27,8343,122
4,28,8378,123
4,29,8413,123
4,30,8453,123
4,31,8493,124
4,32,8528,124
4,33,8559,124
4,34,8594,125
4,35,8643,125
4,36,8684,125
4,37,8716,126
4,38,8746,126
4,39,8784,126
4,40,8820,127
4,41,8858,127
4,42,8898,127
4,43,8937,127
4,44,8975,128
4,45,9022,128
4,46,9067,128
4,47,9101,129
4,48,9142,129
4,49,9177,129
4,50,9215,129
4,51,9252,130
4,52,9295,130
4,53,9339,130
4,54,9380,131
4,55,9420,131
4,56,9474,131
4,57,9519,131
4,58,9551,132
4,59,9591,132
5,0,9634,132
5,1,9669,132
5,2,9719,133
5,3,9753,133
5,4,9796,133
5,5,9842,133
5,6,9891,133
5,7,9944,134
5,8,9990,134
5,9,10032,134
5,10,10073,134
5,11,10106,134
5,12,10156,135
5,13,10202,135
5,14,10247,135
5,15,10287,135
5,16,10338,136
5,17,10383,136
5,18,10435,136
5,19,10480,136
5,20,10521,136
5,21,10566,136
5,22,10618,137
5,23,10680,137
5,24,10729,137
5,25,10782,137
5,26,10818,137
5,27,10865,138
5,28,10905,138
5,29,10960,138
5,30,11009,138
5,31,11064,138
5,32,11105,138
5,33,11151,138
5,34,11209,139
5,35,11258,139
5,36,11305,139
5,37,11361,139
5,38,11426,139
5,39,11472,139
5,40,11523,139
5,41,11569,140
5,42,11626,140
5,43,11687,140
5,44,11732,140
5,45,11777,140
5,46,11840,140
5,47,11893,140
5,48,11958,140
5,49,12001,141
5,50,12053,141
5,51,12108,141
5,52,12159,141
5,53,12225,141
5,54,12275,141
5,55,12335,141
5,56,12389,141
5,57,12453,141
5,58,12506,141
5,59,12561,142
6,0,12619,142
6,1,12680,142
6,2,12732,142
6,3,12788,142
6,4,12866,142
6,5,12933,142
6,6,12989,142
6,7,13041,142
6,8,13103,142
6,9,13156,142
6,10,13220,142
6,11,13292,143
6,12,13356,143
6,13,13414,143
6,14,13468,143
6,15,13537,143
6,16,13599,143
6,17,13661,143
6,18,13722,143
6,19,13789,143
6,20,13840,143
6,21,13912,143
6,22,13975,143
6,23,14037,143
6,24,14111,143
6,25,14180,143
6,26,14251,143
6,27,14314,143
6,28,14377,143
6,29,14444,143
6,30,14521,143
6,31,14592,143
6,32,14664,143
6,33,14731,144
6,34,14814,144
6,35,14862,144
6,36,14951,144
6,37,15020,144
6,38,15088,144
6,39,15156,144
6,40,15231,144
6,41,15304,144
6,42,15375,144
6,43,15450,144
6,44,15519,144
6,45,15597,144
6,46,15681,144
6,47,15756,144
6,48,15829,144
6,49,15907,144
6,50,15976,144
6,51,16059,144
6,52,16141,144
6,53,16220,144
6,54,16296,144
6,55,16369,144
6,56,16465,144
6,57,16545,144
6,58,16628,144
6,59,16699,144
7,0,16781,144
7,1,16877,144
7,2,16961,144
7,3,17048,144
7,4,17132,144
7,5,17214,144
7,6,17301,144
7,7,17399,144
7,8,17494,144
